vehicle_id,fuel_type,rpm,fuel_consumption,throttle_position,fuel_pressure,coolant_temp,torque,spark_timing,speed,engine_load,intake_temp,battery_voltage,power,intake_pressure,vehicle_age,battery_age,battery_health,harsh_braking_count,sudden_acceleration_count,idle_time,days_since_last_service,distance_since_last_service,oil_change_count,brake_change_count,repairs_last_year,accident_history,temperature,humidity,traffic_index,road_quality,terrain_type,aqi,driver_score,engine_stress_score,service_health_score,service_required,vehicle_weight,rpm_variance_score,overheating_risk,aggressive_driving_index,daily_distance,fuel_efficiency,battery_service_required,brake_service_required,oil_change_required,engine_service_required,remaining_service_km,service_status,vehicle_model,engine_displacement_l,cylinder_count,transmission_type,drive_type,vehicle_class,city_mpg,highway_mpg,combined_mpg,air_pollution_score,greenhouse_gas_score,co2_emissions,rainfall_mm,weather_location,weather_severity,wet_road,health_label,days_until_service
VH01214,petrol,1636.0,6.1,35.1,48.0,96.2,117.3,12.3,44.7,59.7,39.8,13.49,13.1,99.8,1,31,86.4,8,2,17.0,52,3396,3,1,2,0,25.4,70.1,0.55,0.53,City,144,76.5,0.417,0.596,0,1014,0.325,0.37,0.323,40.2,4.0,0,0,0,0,2256,Monitor,Hyundai i20,1.2,4,Manual,FWD,Hatchback,30.2,42.6,35.8,8,9,132.0,30.4,Kolkata,Severe,1,Monitor,
VH01215,petrol,1771.0,5.33,39.0,51.7,97.4,161.2,13.0,36.8,53.7,41.6,13.53,22.0,96.4,3,22,75.6,9,5,25.3,69,2876,7,2,1,1,21.7,49.2,0.3,0.7,Highway,113,81.8,0.313,0.742,0,1196,0.158,0.343,0.151,40.6,4.0,0,0,0,0,2994,Monitor,Maruti Brezza,1.5,4,Automatic,FWD,SUV,29.9,43.1,35.8,8,9,142.7,2.8,Pune,Clear,1,Monitor,
VH01216,petrol,1301.0,5.26,22.2,48.5,91.3,123.9,12.0,44.1,24.9,36.8,13.66,13.8,101.8,0,10,92.5,0,0,11.4,30,1016,4,0,0,0,26.0,71.4,0.62,0.64,Mixed,212,91.8,0.177,0.849,0,1210,0.111,0.212,0.132,28.7,4.0,0,0,0,0,4987,Healthy,Tata Nexon,1.2,4,Manual,FWD,SUV,33.3,36.5,34.7,9,10,152.8,11.9,Kolkata,Moderate,1,Healthy,
VH01217,petrol,1265.0,4.39,23.0,56.0,90.1,160.0,10.2,19.0,44.5,45.0,13.87,17.0,100.1,2,15,95.0,1,1,2.0,42,1235,1,1,0,0,36.6,82.4,1.0,0.55,City,157,91.8,0.129,0.94,0,1436,0.101,0.1,0.087,29.1,4.0,0,0,0,0,5441,Healthy,Hyundai Creta,1.5,4,Automatic,FWD,SUV,30.1,34.6,32.1,9,10,156.9,6.5,Mumbai,Moderate,1,Healthy,
VH01218,petrol,1615.0,10.01,55.3,44.0,97.9,125.2,6.4,57.5,62.2,52.7,12.99,20.7,101.4,4,39,57.4,17,9,30.4,194,5752,10,6,4,1,27.3,73.1,0.69,0.42,Mixed,176,56.9,0.58,0.438,1,1410,0.46,0.303,0.597,26.4,4.0,1,1,1,0,913,Service Soon (17d),Hyundai Creta,1.5,4,Automatic,FWD,SUV,26.5,36.4,31.0,7,8,171.4,2.0,Kolkata,Clear,0,Service Soon,17.0
VH01219,petrol,2890.0,12.71,73.6,49.5,102.4,85.9,1.1,51.0,96.7,47.2,12.35,28.7,99.3,4,93,30.6,26,29,70.3,265,9894,16,11,6,1,25.6,80.6,0.67,0.6,Mixed,102,38.1,0.799,0.226,1,912,0.801,0.589,0.626,112.4,4.0,1,0,1,1,110,Critical,Maruti Swift,1.2,4,Manual,FWD,Hatchback,31.5,41.1,35.8,7,7,135.5,16.2,Chennai,Moderate,1,Critical,
VH01220,petrol,1670.0,7.06,49.1,51.7,86.4,129.4,13.2,40.2,47.2,59.6,12.53,27.1,100.7,2,20,71.2,6,7,26.7,66,5324,3,3,1,1,35.3,62.6,0.62,0.57,City,108,76.8,0.508,0.579,0,1257,0.47,0.052,0.372,58.3,4.0,0,0,0,0,3011,Monitor,Tata Nexon,1.2,4,Manual,FWD,SUV,24.7,33.7,28.8,7,8,164.1,9.8,Hyderabad,Moderate,1,Monitor,
VH01221,petrol,1829.0,5.0,35.4,49.7,99.8,127.0,7.2,55.4,53.7,49.5,13.81,25.9,96.4,1,27,77.5,9,4,12.0,101,4483,5,2,1,1,20.6,50.3,0.31,0.68,Highway,132,82.2,0.459,0.777,0,962,0.362,0.298,0.251,46.4,4.0,0,0,0,0,3437,Monitor,Hyundai i20,1.2,4,Manual,FWD,Hatchback,34.9,41.1,37.7,7,8,139.4,1.2,Pune,Clear,0,Monitor,
VH01222,petrol,2234.0,8.86,62.2,51.4,100.6,120.7,5.3,17.3,71.3,48.6,12.87,27.3,98.7,7,36,47.1,13,11,34.8,186,6161,7,6,2,0,25.2,51.7,0.52,0.51,City,121,65.1,0.549,0.385,1,1022,0.48,0.363,0.564,86.9,4.0,1,1,1,0,299,Service Soon (6d),Tata Altroz,1.2,4,Manual,FWD,Hatchback,32.3,39.5,35.5,8,7,150.0,0.8,Pune,Clear,0,Service Soon,6.0
VH01223,petrol,1405.0,3.72,5.8,50.0,93.5,171.3,11.9,56.3,45.0,31.8,13.76,27.6,103.7,0,13,87.6,0,1,11.8,10,1376,4,0,0,0,16.6,37.4,0.54,0.51,City,196,98.5,0.14,0.81,0,1209,0.084,0.346,0.033,33.0,4.0,0,0,0,0,6647,Healthy,Maruti Brezza,1.5,4,Automatic,FWD,SUV,29.6,37.4,33.1,9,9,150.9,4.4,Delhi,Clear,1,Healthy,
VH01224,diesel,1113.0,7.19,27.5,282.0,80.4,320.0,14.8,44.1,45.9,38.7,13.33,50.0,102.5,1,2,100.0,1,0,5.7,0,2377,3,1,0,0,26.2,72.6,0.0,0.24,Off-road,139,91.4,0.198,0.888,0,2028,0.193,0.0,0.143,37.6,4.0,0,0,0,0,6655,Healthy,Mahindra Scorpio,2.2,4,Manual,4WD,SUV,17.3,26.2,21.3,8,10,208.3,17.8,Chennai,Moderate,1,Healthy,
VH01225,petrol,1462.0,6.05,27.7,52.1,98.6,129.4,13.1,64.3,52.3,41.3,13.56,27.8,100.5,3,26,82.8,6,6,20.1,114,4470,8,3,2,0,27.7,51.3,0.6,0.51,City,71,82.8,0.499,0.781,0,1516,0.381,0.422,0.241,49.1,4.0,0,0,0,0,2408,Monitor,Hyundai Creta,1.5,4,Automatic,FWD,SUV,23.3,33.8,28.0,8,8,184.5,1.7,Hyderabad,Clear,0,Monitor,
VH01226,petrol,1660.0,4.74,38.5,51.9,95.8,99.0,10.9,36.4,63.9,33.5,12.95,15.2,96.6,3,37,75.8,5,7,10.2,55,3268,3,3,2,0,15.4,64.8,0.7,0.59,City,98,79.7,0.479,0.639,0,1272,0.387,0.209,0.309,72.1,4.0,0,0,0,0,4301,Monitor,Tata Nexon,1.2,4,Manual,FWD,SUV,26.2,39.0,32.0,9,8,161.0,3.0,Pune,Clear,1,Monitor,
VH01227,petrol,2851.0,17.87,72.8,49.5,122.8,128.6,4.9,63.2,81.4,64.5,11.06,45.4,86.4,11,59,30.2,31,34,60.2,358,11191,21,6,7,4,31.9,69.1,0.1,0.11,Off-road,88,26.2,1.0,0.0,1,1442,0.928,0.861,0.858,65.5,4.0,1,0,1,1,93,Critical,Hyundai Creta,1.5,4,Automatic,FWD,SUV,21.7,31.4,26.1,5,6,194.9,0.5,Mumbai,Clear,0,Critical,
VH01228,petrol,1493.0,4.69,15.6,52.4,84.9,164.0,13.4,52.1,25.0,33.4,13.82,25.8,98.6,5,9,91.9,0,2,14.1,33,2897,1,1,0,0,19.0,63.9,0.43,0.86,Highway,60,100.0,0.195,0.827,0,1209,0.156,0.0,0.101,38.1,4.0,0,0,0,0,5781,Healthy,Maruti Brezza,1.5,4,Automatic,FWD,SUV,30.9,38.7,34.4,8,10,145.4,1.2,Pune,Clear,0,Healthy,
VH01229,petrol,2015.0,8.51,49.3,49.3,112.5,111.0,16.5,23.6,65.4,50.3,13.05,19.5,95.2,1,47,45.4,8,14,45.3,190,7057,9,4,2,1,29.5,84.9,0.31,0.91,Highway,76,72.7,0.649,0.482,1,1024,0.429,0.727,0.368,78.7,4.0,1,0,1,1,874,Service Soon (18d),Hyundai i20,1.2,4,Manual,FWD,Hatchback,30.3,44.1,36.5,6,6,149.5,20.8,Chennai,Severe,1,Service Soon,18.0
VH01230,diesel,1404.0,6.87,33.4,271.7,98.6,320.0,16.6,37.1,58.3,46.7,12.91,40.6,95.9,10,32,72.1,2,6,27.7,54,3207,5,3,1,0,30.2,73.9,0.3,0.87,Highway,104,82.3,0.301,0.65,1,2155,0.305,0.346,0.296,45.7,4.0,0,0,1,0,3253,Monitor,Mahindra XUV700,2.2,4,Automatic,AWD,SUV,21.8,22.3,22.0,9,8,229.2,31.2,Chennai,Severe,1,Monitor,
VH01231,diesel,1871.0,5.24,21.5,257.1,88.4,320.0,14.5,29.7,50.7,46.9,13.3,72.8,102.4,0,37,68.0,4,7,21.4,95,5926,6,3,2,0,33.0,56.5,0.7,0.38,City,107,78.6,0.295,0.616,0,2094,0.277,0.058,0.192,29.3,4.0,0,0,0,0,2228,Monitor,Mahindra XUV700,2.2,4,Automatic,AWD,SUV,16.9,26.3,21.1,8,10,225.1,0.4,Pune,Clear,0,Monitor,
VH01232,petrol,1447.0,4.07,15.1,54.1,86.6,124.0,14.4,14.5,32.5,43.0,14.02,21.7,97.1,0,11,95.8,1,2,17.9,39,2484,4,1,0,0,31.9,72.3,0.75,0.55,City,182,88.7,0.236,0.864,0,1041,0.118,0.259,0.085,41.9,4.0,0,0,0,0,5149,Healthy,Hyundai i20,1.2,4,Manual,FWD,Hatchback,32.2,46.4,38.6,9,9,142.4,6.1,Kolkata,Moderate,1,Healthy,
VH01233,petrol,1885.0,6.42,45.6,51.0,99.1,148.3,11.7,50.8,54.8,55.2,12.82,30.4,98.4,5,27,68.3,6,5,15.2,75,2613,6,1,2,1,27.9,61.8,0.73,0.61,City,66,85.3,0.47,0.628,0,1228,0.409,0.456,0.247,57.0,4.0,0,0,0,0,2785,Monitor,Maruti Brezza,1.5,4,Automatic,FWD,SUV,26.6,42.5,33.8,8,9,161.9,10.2,Pune,Moderate,1,Monitor,
VH01234,petrol,1502.0,5.46,18.7,55.6,93.5,150.0,15.3,59.1,21.2,42.5,13.8,15.7,100.9,6,3,98.4,2,1,14.5,28,1203,1,1,0,0,29.3,72.0,0.4,0.84,Highway,147,88.2,0.162,0.829,1,1218,0.118,0.207,0.205,46.4,4.0,0,1,0,0,6202,Healthy,Maruti Brezza,1.5,4,Automatic,FWD,SUV,29.7,37.6,33.3,9,10,138.5,0.1,Kolkata,Clear,0,Healthy,
VH01235,petrol,2125.0,6.73,26.0,48.6,94.2,101.7,13.3,48.2,50.9,48.5,13.74,22.7,100.6,0,23,85.7,5,6,24.7,81,3827,6,1,1,0,17.9,79.4,0.81,0.58,City,153,87.7,0.522,0.767,0,1039,0.41,0.207,0.258,57.3,4.0,0,0,0,0,2232,Monitor,Tata Altroz,1.2,4,Manual,FWD,Hatchback,28.9,38.6,33.3,8,8,148.0,7.8,Kolkata,Moderate,1,Monitor,
VH01236,petrol,1858.0,10.73,47.3,50.4,93.2,112.2,17.2,30.1,54.6,47.7,13.6,17.4,91.9,6,29,76.8,7,8,15.1,106,3839,5,3,2,0,24.5,75.2,0.26,0.23,Off-road,78,77.3,0.522,0.628,0,1058,0.409,0.294,0.23,35.7,4.0,0,0,0,0,3625,Monitor,Tata Altroz,1.2,4,Manual,FWD,Hatchback,33.0,37.2,34.9,7,8,164.8,16.1,Bangalore,Moderate,1,Monitor,
VH01237,diesel,1202.0,6.54,13.0,270.4,74.2,320.0,15.2,24.7,39.1,41.2,13.68,44.0,105.2,0,9,96.3,0,2,6.5,17,1622,2,0,0,0,21.2,55.6,0.16,0.17,Off-road,87,97.9,0.299,0.953,0,2038,0.247,0.008,0.079,30.9,4.0,0,0,0,0,5116,Healthy,Mahindra Scorpio,2.2,4,Manual,4WD,SUV,17.6,26.8,21.7,8,9,210.9,2.0,Pune,Clear,0,Healthy,
VH01238,petrol,1739.0,6.29,47.9,51.5,97.8,125.7,9.1,16.9,48.6,47.7,13.07,17.2,96.7,2,36,79.6,6,8,21.0,78,3355,4,3,1,1,23.9,77.6,0.39,0.8,Highway,179,79.2,0.309,0.558,0,908,0.285,0.514,0.353,41.1,4.0,0,0,0,0,3644,Monitor,Maruti Swift,1.2,4,Manual,FWD,Hatchback,35.5,44.1,39.4,9,10,124.1,0.2,Kolkata,Clear,0,Monitor,
VH01239,diesel,1024.0,5.4,31.8,266.3,75.9,320.0,16.1,34.7,20.1,42.6,13.76,44.8,105.7,7,4,94.3,2,0,13.9,21,1166,2,0,0,0,29.6,65.8,0.66,0.5,City,110,93.4,0.315,0.89,0,2067,0.28,0.0,0.123,43.2,4.0,0,0,0,0,5108,Healthy,Mahindra Scorpio,2.2,4,Manual,4WD,SUV,19.9,23.9,21.7,8,10,213.6,30.9,Bangalore,Severe,1,Healthy,
VH01240,petrol,1490.0,2.84,21.8,54.4,79.1,177.6,12.5,47.9,37.4,41.8,14.07,17.6,101.9,2,12,87.4,0,1,6.3,26,670,1,1,0,0,27.5,61.2,0.43,0.68,Highway,130,100.0,0.117,0.843,0,1218,0.072,0.0,0.003,43.6,5.05,0,0,0,0,4931,Healthy,Maruti Brezza,1.5,4,Automatic,FWD,SUV,33.8,37.3,35.4,10,9,148.8,7.1,Kolkata,Moderate,1,Healthy,
VH01241,petrol,1812.0,6.06,37.6,52.0,91.1,131.7,7.8,46.1,63.1,49.7,12.98,18.8,101.3,3,26,85.6,4,6,17.9,59,3492,5,3,1,0,28.3,67.6,0.84,0.59,City,146,83.8,0.553,0.657,0,950,0.448,0.141,0.221,64.8,4.0,0,0,0,0,4482,Monitor,Hyundai i20,1.2,4,Manual,FWD,Hatchback,33.2,41.9,37.1,7,8,146.3,58.9,Kolkata,Severe,1,Monitor,
VH01242,diesel,1717.0,10.18,54.0,255.1,94.8,320.0,9.0,76.9,65.4,63.6,12.81,62.9,96.2,8,46,53.5,9,11,35.7,160,8841,7,4,3,0,30.8,51.7,0.14,0.24,Off-road,109,66.1,0.676,0.475,1,2045,0.607,0.278,0.562,78.5,4.0,1,0,1,1,877,Service Soon (9d),Mahindra Scorpio,2.2,4,Manual,4WD,SUV,18.5,25.2,21.5,7,7,222.1,1.1,Hyderabad,Clear,0,Service Soon,9.0
VH01243,petrol,1997.0,7.41,42.5,51.0,93.2,112.8,16.4,54.9,46.2,45.6,12.9,17.2,100.8,4,39,70.8,6,8,25.6,99,3053,7,3,1,0,22.7,79.2,0.63,0.57,City,108,75.4,0.466,0.529,0,1002,0.325,0.349,0.169,64.0,4.0,0,0,0,0,3451,Monitor,Hyundai i20,1.2,4,Manual,FWD,Hatchback,33.3,42.1,37.3,8,8,136.0,3.5,Mumbai,Clear,1,Monitor,
VH01244,petrol,2602.0,11.42,71.3,46.8,121.8,136.4,8.7,97.7,83.0,59.8,11.15,34.4,93.9,2,94,6.4,22,34,50.2,321,11222,15,10,6,4,16.9,69.9,0.81,0.67,City,109,36.9,0.922,0.116,1,1203,0.642,0.93,0.622,74.6,4.0,1,1,1,0,105,Critical,Maruti Brezza,1.5,4,Automatic,FWD,SUV,26.4,36.6,31.0,7,6,150.2,25.0,Mumbai,Severe,1,Critical,
VH01245,petrol,1583.0,3.07,11.7,56.5,87.2,116.1,14.4,43.3,25.7,45.7,13.7,19.4,98.4,1,14,97.0,0,1,14.9,49,2797,4,1,0,0,28.1,80.8,0.7,0.61,City,133,95.4,0.174,0.83,0,986,0.114,0.007,0.028,39.6,4.37,0,0,0,0,6092,Healthy,Hyundai i20,1.2,4,Manual,FWD,Hatchback,34.8,43.8,38.9,9,9,128.4,8.1,Kolkata,Moderate,1,Healthy,
VH01246,petrol,1300.0,5.26,20.4,53.6,82.9,125.9,10.8,37.3,19.0,44.7,13.89,22.0,100.0,6,10,88.7,0,2,12.6,29,2820,2,1,0,0,33.0,64.2,0.63,0.43,City,83,100.0,0.273,0.982,0,893,0.137,0.0,0.044,47.3,4.0,0,0,0,0,4671,Healthy,Maruti Swift,1.2,4,Manual,FWD,Hatchback,36.7,43.3,39.7,9,9,136.2,2.1,Mumbai,Clear,1,Healthy,
VH01247,diesel,2240.0,11.61,82.5,234.2,105.4,320.0,0.0,36.6,95.6,59.8,11.89,69.3,87.1,9,84,33.8,26,33,53.5,315,11194,20,10,6,4,29.5,76.7,0.42,0.9,Highway,120,35.8,0.691,0.067,1,2162,0.581,0.561,0.69,72.5,4.0,1,1,1,1,138,Critical,Mahindra XUV700,2.2,4,Automatic,AWD,SUV,18.5,20.0,19.2,6,7,254.0,0.7,Chennai,Clear,0,Critical,
VH01248,petrol,1978.0,4.51,25.3,49.3,100.5,149.9,13.7,67.6,49.7,40.6,13.0,22.6,102.8,6,24,72.4,6,7,28.0,56,5541,4,3,1,1,22.7,79.1,0.42,0.77,Highway,179,74.1,0.332,0.58,0,1438,0.323,0.423,0.287,54.0,4.0,0,0,0,0,1620,Monitor,Hyundai Creta,1.5,4,Automatic,FWD,SUV,23.3,35.0,28.6,9,10,173.5,12.8,Kolkata,Moderate,1,Monitor,
VH01249,petrol,1443.0,7.11,41.8,53.0,85.7,117.6,12.1,68.3,47.5,49.6,13.33,10.0,96.4,2,38,66.7,4,6,20.4,106,4836,7,1,1,0,27.4,65.7,0.71,0.48,City,56,78.5,0.469,0.604,0,872,0.414,0.032,0.425,40.9,4.0,0,0,0,0,3797,Monitor,Maruti Swift,1.2,4,Manual,FWD,Hatchback,37.3,43.2,40.0,9,8,145.2,4.5,Chennai,Clear,1,Monitor,
VH01250,petrol,1743.0,8.16,40.4,49.6,99.8,142.6,14.5,60.4,54.2,37.2,13.11,19.3,95.3,3,22,68.3,2,9,18.2,114,2932,6,1,2,1,17.0,55.0,0.47,0.5,City,75,84.7,0.464,0.508,0,1205,0.373,0.381,0.286,52.8,4.0,0,0,0,0,3541,Monitor,Maruti Brezza,1.5,4,Automatic,FWD,SUV,25.5,37.4,30.9,7,9,175.7,3.4,Hyderabad,Clear,1,Monitor,
VH01251,petrol,1687.0,5.95,30.4,51.3,81.9,109.2,7.4,51.6,46.8,44.6,13.1,15.8,95.1,0,29,64.2,4,6,19.3,97,4407,7,2,2,1,28.3,71.5,0.3,0.88,Highway,94,90.1,0.503,0.564,0,1025,0.395,0.008,0.172,43.9,4.0,0,0,0,0,2345,Monitor,Tata Altroz,1.2,4,Manual,FWD,Hatchback,28.3,39.1,33.2,7,8,149.8,2.1,Mumbai,Clear,1,Monitor,
VH01252,petrol,1729.0,4.08,11.2,49.4,86.2,163.0,14.2,41.7,44.8,47.4,13.89,27.0,99.0,4,9,95.8,2,0,8.1,35,1975,3,1,0,0,33.7,76.5,0.21,0.87,Highway,142,89.4,0.15,0.808,0,1438,0.087,0.02,0.199,41.5,4.0,0,0,0,0,5657,Healthy,Hyundai Creta,1.5,4,Automatic,FWD,SUV,29.4,36.2,32.5,9,9,171.8,2.1,Chennai,Clear,1,Healthy,
VH01253,petrol,2975.0,8.59,58.8,49.0,109.3,91.5,17.4,59.3,71.7,57.4,12.68,23.3,95.7,4,38,57.9,17,15,35.7,196,9258,7,3,4,0,30.5,67.2,0.34,0.85,Highway,114,59.3,0.731,0.279,1,1054,0.503,0.581,0.485,81.8,4.0,1,1,1,1,1762,Service Soon (6d),Tata Altroz,1.2,4,Manual,FWD,Hatchback,30.9,35.3,32.9,7,8,158.8,3.3,Pune,Clear,1,Service Soon,6.0
VH01254,diesel,1316.0,4.88,19.7,302.6,66.3,320.0,13.0,52.8,24.6,40.9,13.52,55.4,105.0,2,19,83.7,0,0,13.5,12,2135,3,1,0,0,27.4,81.4,0.71,0.56,City,105,92.3,0.082,0.903,1,2015,0.073,0.027,0.065,39.9,4.0,1,0,0,0,6380,Healthy,Mahindra Scorpio,2.2,4,Manual,4WD,SUV,21.0,28.8,24.5,10,10,199.6,4.6,Mumbai,Clear,1,Healthy,
VH01255,diesel,1435.0,4.42,8.2,266.5,80.2,320.0,11.4,40.4,42.9,43.4,13.44,46.8,104.7,1,6,94.0,0,3,13.0,4,1891,2,0,0,0,27.1,71.3,0.61,0.46,City,130,94.9,0.184,0.902,1,2022,0.152,0.0,0.223,35.1,4.0,0,0,1,0,4885,Healthy,Mahindra Scorpio,2.2,4,Manual,4WD,SUV,19.1,25.9,22.2,8,10,214.8,5.8,Hyderabad,Moderate,1,Healthy,
VH01256,petrol,2703.0,9.98,44.0,51.0,105.4,110.9,10.0,67.3,70.5,51.6,12.47,27.9,94.6,6,36,64.5,17,9,33.9,113,9000,9,4,2,1,31.1,75.1,0.52,0.76,Highway,153,61.6,0.584,0.412,1,1207,0.407,0.582,0.527,47.0,4.0,0,1,1,0,1505,Service Soon (19d),Tata Nexon,1.2,4,Manual,FWD,SUV,24.9,37.3,30.5,8,7,164.8,42.8,Mumbai,Severe,1,Service Soon,19.0
VH01257,diesel,1358.0,4.92,9.2,290.1,87.1,320.0,10.7,26.6,47.2,39.9,13.68,46.1,103.3,0,0,96.9,0,1,13.0,54,965,2,0,0,0,25.0,73.1,0.85,0.56,City,109,95.5,0.28,0.883,1,1991,0.252,0.002,0.023,22.1,4.0,1,0,0,0,4671,Healthy,Mahindra Scorpio,2.2,4,Manual,4WD,SUV,19.2,26.4,22.4,9,10,222.9,6.5,Chennai,Moderate,1,Healthy,
VH01258,petrol,1742.0,10.65,49.8,48.7,111.8,105.1,9.7,84.5,72.6,54.3,11.78,15.0,92.2,7,51,54.7,10,13,30.2,107,7079,12,3,4,2,25.5,83.4,0.64,0.68,City,89,57.2,0.708,0.435,1,1247,0.589,0.752,0.607,73.3,4.0,1,1,1,1,956,Service Soon (29d),Tata Nexon,1.2,4,Manual,FWD,SUV,26.4,33.5,29.6,6,8,182.9,0.2,Mumbai,Clear,0,Service Soon,29.0
VH01259,petrol,1214.0,3.1,13.9,54.0,80.8,111.7,19.2,42.8,35.9,41.9,13.32,10.0,99.8,1,11,91.9,1,0,17.3,42,1706,3,1,0,0,37.2,65.4,0.8,0.61,City,136,93.5,0.308,0.874,0,1059,0.206,0.0,0.019,32.4,4.0,0,0,0,0,7381,Healthy,Tata Altroz,1.2,4,Manual,FWD,Hatchback,32.4,41.2,36.4,8,8,142.3,36.5,Hyderabad,Severe,1,Healthy,
VH01260,petrol,1357.0,4.51,22.7,61.3,85.5,122.3,13.6,53.7,42.5,36.9,14.4,12.9,102.7,1,3,100.0,3,3,10.5,37,2607,1,1,0,0,35.9,88.7,0.67,0.59,City,95,97.6,0.166,0.907,0,1050,0.185,0.078,0.016,39.7,4.0,0,0,0,0,6609,Healthy,Tata Altroz,1.2,4,Manual,FWD,Hatchback,35.1,40.7,37.6,9,9,151.7,5.2,Mumbai,Moderate,1,Healthy,
VH01261,petrol,1645.0,4.7,23.5,52.3,90.6,123.5,16.8,37.5,30.3,37.8,14.14,25.2,101.3,1,7,86.4,1,0,9.5,57,432,2,0,0,0,17.9,50.6,0.81,0.52,City,78,92.4,0.093,0.762,0,1106,0.013,0.141,0.049,40.0,4.0,0,0,0,0,5317,Healthy,Tata Altroz,1.2,4,Manual,FWD,Hatchback,30.7,42.0,35.8,9,8,150.5,0.5,Pune,Clear,0,Healthy,
VH01262,diesel,1616.0,13.83,70.4,284.9,117.3,320.0,2.6,78.3,79.8,71.1,11.39,62.2,91.2,14,91,19.5,29,21,43.2,212,14151,15,11,4,1,19.1,44.7,0.63,0.44,City,183,35.2,0.719,0.198,1,2068,0.649,0.863,0.833,89.4,4.0,1,1,1,0,13,Critical,Mahindra Scorpio,2.2,4,Manual,4WD,SUV,23.2,25.9,24.4,6,7,235.7,11.2,Delhi,Moderate,1,Critical,
VH01263,petrol,1412.0,4.48,15.3,51.4,91.4,108.2,14.0,29.1,45.7,45.9,13.88,14.0,100.0,0,8,97.2,3,0,9.4,19,173,1,1,0,0,33.9,69.2,0.54,0.49,City,203,93.2,0.271,0.81,1,1086,0.221,0.213,0.088,36.5,4.0,0,0,1,0,6117,Healthy,Tata Altroz,1.2,4,Manual,FWD,Hatchback,32.8,41.0,36.5,9,10,142.5,24.9,Delhi,Severe,1,Healthy,
VH01264,petrol,1945.0,9.49,44.6,50.8,107.1,99.7,13.8,47.4,68.9,57.8,12.43,20.2,99.8,2,47,48.3,10,12,35.0,191,7845,13,5,4,1,25.7,48.8,0.5,0.6,City,106,62.2,0.595,0.318,1,1283,0.605,0.609,0.637,53.7,4.0,1,1,1,0,1320,Service Soon (14d),Tata Nexon,1.2,4,Manual,FWD,SUV,23.9,36.5,29.6,6,7,175.1,4.7,Pune,Clear,1,Service Soon,14.0
VH01265,petrol,1920.0,5.01,42.5,48.5,102.7,118.2,12.5,40.6,53.6,56.1,13.18,22.7,96.2,1,32,82.9,4,5,18.0,69,3076,6,1,1,0,35.1,83.0,0.37,0.9,Highway,194,80.7,0.351,0.698,0,1049,0.323,0.352,0.395,37.7,4.0,0,0,0,0,2608,Monitor,Hyundai i20,1.2,4,Manual,FWD,Hatchback,39.0,41.3,40.0,8,9,143.3,3.6,Kolkata,Clear,1,Monitor,
VH01266,petrol,1836.0,6.48,48.1,54.5,96.5,128.4,13.9,54.5,46.2,47.9,12.9,18.7,102.3,4,29,73.4,2,4,23.8,119,4950,6,3,2,1,29.0,72.0,0.49,0.76,Highway,123,91.3,0.526,0.677,0,1036,0.374,0.246,0.165,45.9,4.0,0,0,0,0,3747,Monitor,Tata Altroz,1.2,4,Manual,FWD,Hatchback,32.4,39.2,35.5,7,8,158.8,5.6,Pune,Moderate,1,Monitor,
VH01267,petrol,1643.0,4.25,12.6,54.0,91.8,159.4,13.8,19.0,42.7,41.3,13.97,27.0,100.4,10,16,92.2,0,0,6.1,30,2920,3,1,0,0,18.9,48.0,0.85,0.47,City,173,98.8,0.274,0.963,0,1456,0.178,0.135,0.078,48.1,4.0,0,0,0,0,5598,Healthy,Hyundai Creta,1.5,4,Automatic,FWD,SUV,28.2,34.4,31.0,9,9,160.0,1.0,Delhi,Clear,0,Healthy,
VH01268,petrol,2181.0,6.39,47.0,50.3,85.7,146.1,9.9,73.7,48.9,39.1,13.01,32.4,97.1,5,38,84.2,6,7,20.0,62,5484,4,1,2,1,30.6,55.4,0.54,0.45,City,66,78.4,0.421,0.697,1,1178,0.294,0.171,0.317,30.3,4.0,1,0,0,1,4111,Monitor,Maruti Brezza,1.5,4,Automatic,FWD,SUV,27.9,39.1,32.9,8,8,158.9,4.2,Pune,Clear,1,Monitor,
VH01269,diesel,1894.0,13.75,79.0,247.9,102.4,320.0,6.9,57.6,82.0,71.2,10.72,57.8,99.4,5,67,20.2,23,28,54.1,207,9444,14,11,8,4,28.8,62.4,0.67,0.54,Mixed,158,34.6,0.828,0.146,1,2069,0.674,0.664,0.684,94.8,4.0,1,0,1,1,8,Critical,Mahindra Scorpio,2.2,4,Manual,4WD,SUV,20.2,25.7,22.7,6,7,239.0,6.3,Kolkata,Moderate,1,Critical,
VH01270,petrol,1502.0,7.97,26.5,50.8,94.5,115.9,11.3,42.3,34.3,36.6,13.54,14.4,101.0,2,2,92.0,0,0,10.4,32,1697,3,0,0,0,14.2,56.9,0.17,0.28,Off-road,191,91.5,0.39,0.777,0,1284,0.355,0.276,0.172,34.3,4.0,0,0,0,0,5640,Healthy,Tata Nexon,1.2,4,Manual,FWD,SUV,31.2,37.9,34.2,8,8,153.3,2.3,Delhi,Clear,1,Healthy,
